scode,YYYY,MM,Tsun_sum,Tsun_max,Tsun_min,Tsun_mean,TAVE_max,TAVE_min,TAVE_mean,Tmax_max,Tmax_min,Tmax_mean,Tmin_max,Tmin_min,Tmin_mean,Rain_sum,Rain_max,Rain_mean,GTAVE_max,GTAVE_min,GTAVE_mean,GTmax_max,GTmax_min,GTmax_mean,GTmin_max,GTmin_min,GTmin_mean,Sevp_sum,Sevp_max,Sevp_min,Sevp_mean,name,type,altitude,alt_qiya,lon,lat
57237,2007,3,65.8,9.3,0.0,2.1225806451612903,20.8,5.3,10.538709677419355,30.2,7.0,15.319354838709677,16.0,0.9,7.016129032258065,33.6,18.7,1.0838709677419356,21.9,5.5,11.064516129032258,48.4,8.9,22.993548387096773,13.4,-0.7,5.841935483870968,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,4,129.7,10.9,0.0,4.323333333333333,21.6,9.9,15.813333333333333,31.2,13.3,22.23,17.8,6.5,10.72,36.5,14.0,1.2166666666666666,25.8,10.1,18.133333333333333,53.6,15.7,35.64333333333333,16.1,5.3,9.79,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,5,161.5,10.7,0.0,5.209677419354839,25.0,14.9,20.96451612903226,33.3,19.0,27.809677419354838,22.2,9.7,15.738709677419354,200.1,122.1,6.45483870967742,32.1,13.7,23.929032258064513,57.7,17.4,41.53225806451613,22.0,9.4,15.193548387096774,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,6,124.1,10.9,0.0,4.136666666666667,25.9,17.2,22.1,33.9,19.2,27.916666666666668,21.8,14.4,18.253333333333334,170.3,35.1,5.676666666666667,33.8,18.2,25.2,59.4,22.3,40.0,21.7,13.7,18.19333333333333,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,7,117.1,10.0,0.0,3.7774193548387096,26.9,20.7,24.04516129032258,34.3,22.8,28.79032258064516,24.0,17.5,20.903225806451612,536.2,160.2,17.296774193548387,32.1,21.5,26.48709677419355,55.2,23.2,39.20967741935484,24.6,16.9,20.883870967741935,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,8,213.29999999999998,11.1,0.0,6.880645161290322,27.6,23.4,25.925806451612903,35.6,29.3,32.538709677419355,24.3,16.8,21.125806451612902,122.9,46.2,3.9645161290322584,35.2,22.3,30.75483870967742,65.1,29.1,52.21612903225807,24.3,17.8,21.364516129032257,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,9,145.7,10.2,0.0,4.8566666666666665,23.8,17.2,20.33,31.0,20.3,26.476666666666667,19.8,11.3,16.226666666666667,28.9,6.8,0.9633333333333333,26.3,16.9,22.98,55.6,22.8,39.15,19.6,10.8,15.806666666666667,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,1,44.2,7.4,0.0,1.4258064516129034,7.7,-2.9,1.4838709677419355,16.3,-2.3,4.738709677419355,4.7,-7.1,-0.9580645161290322,1.1,0.4,0.035483870967741936,8.6,-1.8,2.570967741935484,25.2,2.3,12.167741935483871,4.0,-7.3,-1.7322580645161292,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,10,72.2,9.3,0.0,2.329032258064516,19.5,12.4,15.67741935483871,27.5,14.1,20.258064516129032,17.1,7.3,12.874193548387098,117.3,43.2,3.7838709677419353,21.6,13.4,17.016129032258064,41.2,17.0,26.325806451612905,17.6,6.8,12.787096774193548,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,11,96.5,8.8,0.0,3.216666666666667,15.3,4.9,10.106666666666666,21.8,9.5,15.56,12.8,-1.1,6.496666666666667,39.2,17.1,1.3066666666666669,16.4,4.1,10.5,32.3,11.1,21.93,12.5,-3.1,5.576666666666666,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,12,65.0,8.0,0.0,2.096774193548387,11.8,-1.7,5.745161290322581,17.9,1.0,11.038709677419355,8.7,-3.4,2.2387096774193544,3.2,2.2,0.1032258064516129,12.4,-0.8,6.370967741935484,29.3,1.4,16.503225806451614,7.9,-3.7,0.7741935483870968,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,2,101.2,8.6,0.0,3.4896551724137934,9.9,-1.7,4.548275862068966,19.2,3.2,9.793103448275861,5.1,-6.8,0.7482758620689655,10.3,9.4,0.3551724137931035,13.3,1.6,6.558620689655172,37.7,6.5,22.410344827586208,4.5,-7.0,-0.506896551724138,113.1,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,3,138.8,10.0,0.0,4.47741935483871,16.9,7.7,12.361290322580645,25.7,9.9,19.13225806451613,11.8,1.0,7.441935483870967,46.5,8.5,1.5,21.0,8.1,13.441935483870967,47.0,12.0,28.48709677419355,11.6,-0.4,6.27741935483871,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,4,142.1,11.0,0.0,4.736666666666666,21.5,9.9,15.516666666666667,29.8,12.8,21.490000000000002,15.5,4.1,10.803333333333335,95.10000000000001,45.5,3.1700000000000004,26.1,9.6,17.37,54.2,15.0,33.08,15.2,2.8,9.806666666666667,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,5,210.7,11.5,0.0,6.796774193548386,25.2,16.5,20.716129032258067,32.0,20.1,27.238709677419354,21.8,8.2,15.654838709677419,146.6,49.5,4.729032258064516,32.2,16.3,24.43548387096774,58.9,20.0,42.73225806451613,21.3,7.2,14.964516129032257,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,6,206.5,12.4,0.0,6.883333333333334,25.3,19.5,22.83,33.1,21.7,29.06,20.9,14.4,17.990000000000002,119.60000000000001,29.6,3.986666666666667,33.6,20.5,26.883333333333333,63.4,25.5,43.96,21.0,14.0,18.02,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,7,233.8,11.8,0.0,7.541935483870968,28.1,21.1,25.26451612903226,35.6,24.1,31.36774193548387,23.1,17.6,20.990322580645163,203.3,61.9,6.558064516129033,36.8,21.8,29.95483870967742,63.7,26.0,47.696774193548386,23.4,17.7,21.416129032258063,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2008,8,140.5,10.6,0.0,4.532258064516129,26.7,19.6,23.338709677419356,34.5,21.8,28.90967741935484,23.4,13.4,19.703225806451613,231.8,78.0,7.47741935483871,34.7,19.1,26.77741935483871,59.4,24.5,41.906451612903226,24.4,13.3,20.177419354838708,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
